"","P.locat","NP","GP...r","BFj","BUj","palsites.real.lon","palsites.real.lat","COT"
"1","outer",5.42696808960777,5.43739360986835,0,0.000392059624653169,162.95673,5.26699,0.177394571747037
"2","outer",8.59951206267796,8.64926205639772,0.000916508597382326,0,162.90755,5.27876,0.216194596233488
"3","outer",10.9242589996569,10.7570761573253,0,0.000178268779435373,162.98051,5.26525,0
"4","outer",10.9895881990906,10.8355198252826,0,0.0132927373030781,163.0027,5.37348,0
"5","outer",16.608123316217,16.4428513108983,0,0.00208910579241461,162.99699,5.37506,0
"6","outer",2.47397693344325,3.94009135365138,0.000512566401517524,0.000594984330896221,162.8967,5.29927,1.63236798058683
"7","outer",0.945902182240274,3.85638456062302,0,0.00102721205598142,162.93533,5.32677,3.07681627743787
"8","outer",6.79895973932576,6.63622466096959,0,0.00462603275494467,163.03798,5.31259,0
"9","outer",7.89801555578409,7.75500879657346,0,0.0243543519004817,163.03645,5.32721,0
"10","outer",3.64127237483664,4.24606097579448,0.00551809340920913,0,162.94688,5.35649,0.766631618659744
"11","outer",4.2043587206157,4.03854398277277,0,0.00154637326818209,163.03059,5.28791,0
"12","outer",0.987615048973646,0.822620882093727,0,0.00236694423119181,163.02065,5.27187,0
"13","outer",3.34489417958497,8.30550836731934,0.008963570054856,0.00169225483906451,162.98283,5.3718,5.11731947395156
"14","outer",8.82219757184291,8.66195697882837,0,0.00712051809657881,163.03365,5.33899,0
"15","outer",11.5365269139614,11.3691658028503,0,0,162.98364,5.26278,0
"16","outer",11.1290067273244,10.9672729222923,0,0.00562730607899823,162.97695,5.36937,0
"17","outer",4.21308165541575,4.04598754991987,0,0.000267005615232096,162.90034,5.31134,0
"18","outer",7.71261494625632,9.50265399981314,0.0364308223199513,0,162.98454,5.37275,1.92096934234799
"19","inner",4.2552621911078,4.08790107999669,0,0,163.02315,5.32558,0
"20","inner",2.7586943648278,3.5436285060897,0.00076867265330059,0,162.95325,5.34423,0.951526579719706
"21","inner",8.57797002375963,8.41105073473931,0,0.000441822090796116,162.939,5.32762,0
"22","inner",8.12895570004991,8.7279314910441,0.0160856403763933,0,162.95012,5.3458,0.750251261728915
"23","inner",9.58522303694634,10.2178619258352,0,0,162.96646,5.27639,0
"24","inner",6.90566786833916,6.73830675722805,0,0,162.95404,5.34976,0
