"","P.locat","NP","GP","BFj","BUj","rep.palsites.real.lon..each...6.","rep.palsites.real.lat..each...6.","site","LLC"
"1","outer",7.80261577873936,7.74383402414816,0,0.000593245408793466,158.3447,6.9183,1,267
"2","outer",6.71589287937813,6.65651787937813,0,0,158.3447,6.9183,1,211
"3","outer",9.59917400000582,9.53979900000582,0,0,158.3447,6.9183,1,334
"4","outer",7.83432149781628,7.77494649781628,0,0,158.3447,6.9183,1,281
"5","outer",8.31117982517088,8.25441125333556,0,0.00260642816467439,158.3447,6.9183,1,265
"6","outer",8.16861273390407,8.10923773390407,0,0,158.3447,6.9183,1,269
"7","outer",10.6844896055033,11.0488138685723,0.42369926306892,0,158.14716,7.00141,2,344
"8","outer",7.01485120300843,6.98662676263768,0.0311505596292478,0,158.14716,7.00141,2,222
"9","outer",11.7833311306984,11.7261225506574,0.00216641995905231,0,158.14716,7.00141,2,259
"10","outer",13.0904654409844,13.0313240568546,0.000233615870156571,0,158.14716,7.00141,2,334
"11","outer",8.12072728314935,8.0649584757662,0.00350209029880534,0.000104102318047026,158.14716,7.00141,2,224
"12","outer",8.19020448474059,8.13496485434115,0.00413536960055429,0,158.14716,7.00141,2,195
"13","outer",1.49802359091908,1.44622234775438,0.00752039537391215,5.33614613883465e-05,158.1268,6.78354,3,87
"14","outer",2.40326135068262,2.34456260482289,0.00034827542459944,0.000327978715664125,158.1268,6.78354,3,103
"15","outer",4.47973254630601,4.42522745312715,0.0042630093118644,0.000606897509275171,158.1268,6.78354,3,159
"16","outer",3.38231822365994,3.38017395308787,0.0572307294279299,0,158.1268,6.78354,3,125
"17","outer",8.69211969536369,8.69582286493364,0.0630781695699528,0,158.1268,6.78354,3,202
"18","outer",4.63520692366873,4.58182743084549,0.00414470582840886,0.00185080134834941,158.1268,6.78354,3,169
"19","outer",0.685858324885666,0.631982244444445,0.0054989195587783,0,158.34975,6.84233,4,22
"20","outer",1.57023139357047,1.52145620525661,0.0105998116861393,0,158.34975,6.84233,4,109
"21","outer",1.33306234066223,1.29595305087719,0.0222657102149637,0,158.34975,6.84233,4,60
"22","outer",0.131418747530176,0.11664,0.0445962524698244,0,158.34975,6.84233,4,3
"23","outer",0.951583538192664,0.922899779485487,0.0306912412928234,0,158.34975,6.84233,4,31
"24","outer",0.662713629888577,0.619737866666667,0.0163992367780898,0,158.34975,6.84233,4,26
"25","outer",10.1101986785342,10.996049841544,0.945226163009793,0,158.1203,6.97962,5,355
"26","outer",24.2272740229254,24.1682263306253,0.000327307699942404,0,158.1203,6.97962,5,553
"27","outer",18.7738911505604,18.7979697350465,0.0834535844860316,0,158.1203,6.97962,5,490
"28","outer",18.3720776943771,19.7359294349501,1.42322674057301,0,158.1203,6.97962,5,544
"29","outer",10.5793569408868,10.5213326983438,0.00135075745697426,0,158.1203,6.97962,5,323
"30","outer",24.2259941015506,24.1697609751391,0.00235396950548231,0.000787904083040995,158.1203,6.97962,5,565
"31","outer",0.059375,0,0,0,158.3322,6.82785,6,0
"32","outer",0.059375,0,0,0,158.3322,6.82785,6,0
"33","outer",0.059375,0,0,0,158.3322,6.82785,6,0
"34","outer",0.183316905082329,0.328784642838778,0.202236309591774,0.00260642816467439,158.3322,6.82785,6,27
"35","outer",0.665476217563294,0.619627583762,0.0135263661987059,0,158.3322,6.82785,6,30
"36","outer",5.64923985311403,5.60467743305836,0.0147293599443331,8.322e-05,158.3322,6.82785,6,109
"37","outer",11.1042525029098,11.0448775029098,0,0,158.3286,6.98805,7,366
"38","outer",9.28923065315596,9.22985565315597,0,0,158.3286,6.98805,7,311
"39","outer",13.82188514032,13.76251014032,0,0,158.3286,6.98805,7,436
"40","outer",7.08192241985456,7.02293919448332,0.000391774628763737,0,158.3286,6.98805,7,247
"41","outer",10.0341354223445,9.976808143108,0.00180873198976335,0.000238988773714931,158.3286,6.98805,7,340
"42","outer",13.1766399125498,13.1176770673036,0.000391349753794261,2.0805e-05,158.3286,6.98805,7,400
"43","outer",8.38100298262751,8.32268753797727,0,0.00105955534975517,158.2287,6.77087,8,354
"44","outer",8.45546631490593,8.40710558088688,0.0110142659809495,0,158.2287,6.77087,8,339
"45","outer",7.72170406408539,7.69841010178802,0.0360810377026302,0,158.2287,6.77087,8,422
"46","outer",10.2088884897006,10.1734308665663,0.023917376865773,0,158.2287,6.77087,8,401
"47","outer",5.31923055950524,5.27830926429206,0.0177221281527327,0.000731576634091043,158.2287,6.77087,8,195
"48","outer",7.28813369133004,7.23872542550346,0.0099667341734208,0,158.2287,6.77087,8,275
"49","inner",2.97535760626621,2.92791262939185,0.0119300231256481,0,158.10828,6.92698,9,586
"50","inner",3.06550248789542,3.01017936776034,0.00405187986492321,0,158.10828,6.92698,9,418
"51","inner",2.42143465062166,2.36205965062166,0,0,158.10828,6.92698,9,424
"52","inner",2.03950405943284,1.98140845856956,0.0012793991367226,0,158.10828,6.92698,9,287
"53","inner",3.96417822969303,3.90541098618311,0.00060775649007309,0,158.10828,6.92698,9,686
"54","inner",4.50118423064671,4.44440073061802,0.00259149997130892,0,158.10828,6.92698,9,535
"55","patch",0.783019859584987,0.736569131762771,0.0128410521777843,8.322e-05,158.15967,6.97603,10,42
"56","patch",2.57331376433303,2.54698832253675,0.0330495582037159,0,158.15967,6.97603,10,152
"57","patch",1.22068940918315,1.17113973056933,0.00897814637708325,0.000847175009092083,158.15967,6.97603,10,72
"58","patch",0.246259199721118,0.194665345556901,0.00778114583578289,0,158.15967,6.97603,10,9
"59","patch",0.805196253779192,0.749748502105208,0.0039272483260161,0,158.15967,6.97603,10,43
"60","patch",7.68617108316067,7.62695717736375,0.000161094203075941,0,158.15967,6.97603,10,510
"61","inner",0.263930871992121,0.205047497319936,0.000491625327814998,0,158.16106,6.80809,11,9
"62","inner",1.0797030208012,1.03353894938837,0.0132109285871758,0,158.16106,6.80809,11,165
"63","inner",0.0803291231283091,0.04271822860832,0.0217641054800109,0,158.16106,6.80809,11,2
"64","inner",0.267575887554326,0.224832782149053,0.0166318945947269,0,158.16106,6.80809,11,10
"65","inner",0.94019176002002,0.882279861433091,0.00146310141307094,0,158.16106,6.80809,11,78
"66","inner",1.06792128996911,1.01083033376323,0.00228404379412066,0,158.16106,6.80809,11,86
"67","inner",6.7564057466555,6.70119541632832,0.0041646696728109,0,158.13321,6.85949,12,296
"68","inner",6.12648691215207,6.07411916247182,0.00700725031975849,0,158.13321,6.85949,12,538
"69","inner",6.48699229940143,6.42761729940143,0,0,158.13321,6.85949,12,543
"70","inner",6.28367037801302,6.2297200940587,0.00542471604567612,0,158.13321,6.85949,12,476
"71","inner",8.97021561711855,8.91084061711856,0,0,158.13321,6.85949,12,600
"72","inner",11.6690385593161,11.6134371757626,0.00377361644657953,0,158.13321,6.85949,12,516
"73","inner",15.6064429251455,15.56037523125,0.0133073061044918,0,158.28163,6.95431,13,636
"74","inner",11.8538273251865,11.7944523251865,0,0,158.28163,6.95431,13,645
"75","inner",13.6559068061004,13.5969957752156,0.000463969115223472,0,158.28163,6.95431,13,643
"76","inner",6.61342050027183,6.55404550027183,0,0,158.28163,6.95431,13,294
"77","inner",2.93987791443328,2.88050291443328,0,0,158.28163,6.95431,13,170
"78","inner",7.58409430339955,7.52542841266511,0.000709109265556244,0,158.28163,6.95431,13,639
"79","inner",0.059375,0,0,0,158.33957,6.84803,14,0
"80","inner",2.21026983860024,2.15553042121407,0.00463558261383202,0,158.33957,6.84803,14,166
"81","inner",1.83361101641388,1.78071242327383,0.00647640685995118,0,158.33957,6.84803,14,63
"82","inner",1.50282656694367,1.44345156694367,0,0,158.33957,6.84803,14,62
"83","inner",8.14254601953103,8.08343917581049,0.000268156279459043,0,158.33957,6.84803,14,305
"84","inner",2.51587435951098,2.46548480472992,0.00898544521893722,0,158.33957,6.84803,14,347
"85","patch",4.74441296603953,4.69784119440621,0.0128032283666753,0,158.10551,6.89394,15,596
"86","patch",6.06075788821976,6.0071167000584,0.00573381183863631,0,158.10551,6.89394,15,370
"87","patch",6.59958207108821,6.54685777934578,0.00665070825757111,0,158.10551,6.89394,15,499
"88","patch",9.98303741116777,9.93364630975809,0.00998389859031912,0,158.10551,6.89394,15,592
"89","patch",7.98044610873635,7.92224376401865,0.00117265528230247,0,158.10551,6.89394,15,618
"90","patch",9.66995393701884,9.62305732219621,0.0124783851773712,0,158.10551,6.89394,15,719
"91","patch",7.35203560677693,7.30614148061066,0.0134808738337265,0,158.12775,6.97252,16,664
"92","patch",8.26075529571759,8.21191700414593,0.0105367084283376,0,158.12775,6.97252,16,584
"93","patch",14.0001997662177,13.9447948209696,0.00397005475184833,0,158.12775,6.97252,16,679
"94","patch",8.7234255142876,8.66829024023811,0.00423972595050981,0,158.12775,6.97252,16,548
"95","patch",15.5139926982272,15.4593612211648,0.00474352293755497,0,158.12775,6.97252,16,868
"96","patch",17.7071720105224,17.6538000508825,0.00600304036009536,0,158.12775,6.97252,16,819
"97","patch",1.57352403315056,1.52080942891661,0.00666039576604692,0,158.08464,6.93955,17,79
"98","patch",2.42631701170359,2.37335653075406,0.00641451905046542,0,158.08464,6.93955,17,286
"99","patch",3.53291753980083,3.48238364291126,0.00884110311043059,0,158.08464,6.93955,17,178
"100","patch",3.70420347743357,3.65384980387697,0.00902132644339864,0,158.08464,6.93955,17,221
"101","patch",10.8571580185061,10.8174658743555,0.0196828558493945,0,158.08464,6.93955,17,531
"102","patch",10.7092687475317,10.9637089268503,0.31381517931857,0,158.08464,6.93955,17,565
"103","patch",6.96609504633832,6.90792912651516,0.00120908017684063,0,158.15275,6.81805,18,418
"104","patch",6.75336951188074,6.69399451188074,0,0,158.15275,6.81805,18,357
"105","patch",8.32148839911428,8.27788914008102,0.0157757409667364,0,158.15275,6.81805,18,441
"106","patch",4.38255395119594,4.32426124766355,0.00108229646760056,0,158.15275,6.81805,18,234
"107","patch",11.1928639795714,11.1411494604472,0.0076604808757974,0,158.15275,6.81805,18,591
"108","patch",19.5095012824604,19.4538394707002,0.0037131882397216,0,158.15275,6.81805,18,751
"109","patch",6.81027819640811,6.76357188960274,0.0126686931946296,0,158.23927,7.01269,19,632
"110","patch",6.02273145025438,5.98349373113532,0.0201372808809484,0,158.23927,7.01269,19,375
"111","patch",7.81900872079156,7.79332533048615,0.0336916096945924,0,158.23927,7.01269,19,484
"112","patch",8.00073200443491,7.94139016222209,3.31577871786916e-05,0,158.23927,7.01269,19,608
"113","patch",7.97370246743925,7.92543236227818,0.0111048948389323,0,158.23927,7.01269,19,467
"114","patch",6.44014130754046,6.39105542263392,0.0102891150934586,0,158.23927,7.01269,19,377
"115","patch",3.96833465546242,3.92219776829703,0.0132381128346115,0,158.31691,6.98906,20,704
"116","patch",9.03014123305033,8.98821838620856,0.0174521531582251,0,158.31691,6.98906,20,825
"117","patch",2.85044256627252,2.8042516594097,0.0131840931371801,0,158.31691,6.98906,20,424
"118","patch",13.2540762837096,13.2065063167139,0.0118050330043629,0,158.31691,6.98906,20,581
"119","patch",8.30701792916688,8.2476441160031,1.18683621486121e-06,0,158.31691,6.98906,20,679
"120","patch",9.04370271349566,9.00038365699912,0.0160559435034612,0,158.31691,6.98906,20,681
"121","patch",7.107158116521,7.0902170500515,0.0424339335305003,0,158.24417,6.97583,21,776
"122","patch",10.2263109905863,10.1703029712007,0.00336698061439698,0,158.24417,6.97583,21,716
"123","patch",6.82866441587051,6.77034411125792,0.00105469538740402,0,158.24417,6.97583,21,725
"124","patch",5.7191064000326,5.67516604859521,0.015434648562618,0,158.24417,6.97583,21,673
"125","patch",5.87604037964133,5.82474854122694,0.00808316158560337,0,158.24417,6.97583,21,805
"126","patch",8.72053115021599,8.68591330790264,0.0247571576866536,0,158.24417,6.97583,21,755
"127","patch",9.33601010995869,9.27914332410118,0.00250821414249456,0,158.1331,6.97768,22,668
"128","patch",7.20676743828003,7.15023864487574,0.00284620659571146,0,158.1331,6.97768,22,689
"129","patch",8.87073557786686,8.81666595761905,0.00530537975219882,0,158.1331,6.97768,22,518
"130","patch",10.2008127845686,10.1419346082554,0.000496823686803218,0,158.1331,6.97768,22,816
"131","patch",5.59498204468783,5.54203012950588,0.00642308481804983,0,158.1331,6.97768,22,636
"132","patch",15.2539033265292,15.2029116801061,0.00838335357691656,0,158.1331,6.97768,22,842
"133","patch",2.8134980376844,2.76774875287028,0.0136049101858793,2.0805e-05,158.3539,6.864,23,130
"134","patch",6.45404501730389,6.3993351994969,0.0046651821930081,0,158.3539,6.864,23,327
"135","patch",5.75169486558479,5.71085213238819,0.0184789053420152,5.33614613883465e-05,158.3539,6.864,23,266
"136","patch",3.10519107032453,3.11633450035304,0.0704143277104595,0.000104102318047026,158.3539,6.864,23,151
"137","patch",2.16051676430281,2.25019665835095,0.149054894048143,0,158.3539,6.864,23,157
"138","patch",8.35090991760856,8.29566033493142,0.00412541732285941,0,158.3539,6.864,23,417
"139","patch",10.8875154305329,10.8288118247674,0.00067139423447014,0,158.32994,6.93343,24,485
"140","patch",12.0517844756104,11.9926730484031,0.000263572792678462,0,158.32994,6.93343,24,714
"141","patch",6.85634686029757,6.79697186029757,0,0,158.32994,6.93343,24,302
"142","patch",9.01896930637208,8.95962657250404,3.22661319638836e-05,0,158.32994,6.93343,24,621
"143","patch",7.70698237525525,7.68243125994203,0.0348238846867747,0,158.32994,6.93343,24,553
"144","patch",8.56060474278349,8.52473309477423,0.0235033519907413,0,158.32994,6.93343,24,644
