"","x","y"
"outer",158.345450780855,6.91897249244172
"outer",158.152799144797,7.00452304524479
"outer",158.126106448235,6.78366913588082
"outer",158.349512712941,6.84312980378651
"outer",158.119143136089,6.97903990185664
"outer",158.325141120427,6.81521969436139
"outer",158.329783328525,6.98814102449527
"outer",158.227654750374,6.76910733965902
"inner",158.108117891856,6.92686013206186
"inner",158.158021628907,6.97054552072726
"inner",158.167306045103,6.80793879625049
"inner",158.131328932345,6.861938790573
"inner",158.280459867486,6.95598372450546
"inner",158.33616636466,6.84798373586044
"patch",158.103475683759,6.89652305659978
"patch",158.119143136089,6.97236574525499
"patch",158.087808231429,6.93171406413579
"patch",158.144675280626,6.81400621134291
"patch",158.238679994606,7.01180394335569
"patch",158.317597532268,6.98632079996754
"patch",158.235778614545,6.97782641883816
"patch",158.130748656333,6.97782641883816
"patch",158.353574645026,6.861938790573
"patch",158.33094388055,6.93050058111731
