site n,site,transect,species,diameter cm
1,J,1,Echinometra,1
1,J,2,NA,NA
1,J,3,Echinometra,1
1,J,3,other,3.5
1,J,3,other,3.5
1,J,4,NA,NA
1,J,5,NA,NA
1,J,6,NA,NA
2,B,1,NA,NA
2,B,2,NA,NA
2,B,3,NA,NA
2,B,4,NA,NA
2,B,5,other,2
2,B,6,NA,NA
3,V,1,NA,NA
3,V,2,NA,NA
3,V,3,NA,NA
3,V,4,NA,NA
3,V,5,NA,NA
3,V,6,NA,NA
4,P,1,NA,NA
4,P,2,NA,NA
4,P,3,NA,NA
4,P,4,NA,NA
4,P,5,NA,NA
4,P,6,NA,NA
5,E,1,NA,NA
5,E,2,NA,NA
5,E,3,NA,NA
5,E,4,NA,NA
5,E,5,NA,NA
5,E,6,other,4
5,E,6,other,3
6,Q,1,NA,NA
6,Q,2,NA,NA
6,Q,3,NA,NA
6,Q,4,NA,NA
6,Q,5,NA,NA
6,Q,6,NA,NA
7,I,1,NA,NA
7,I,2,NA,NA
7,I,3,NA,NA
7,I,4,NA,NA
7,I,5,NA,NA
7,I,6,NA,NA
8,O,1,NA,NA
8,O,2,NA,NA
8,O,3,NA,NA
8,O,4,NA,NA
8,O,5,NA,NA
8,O,6,NA,NA
9,G,1,NA,NA
9,G,2,NA,NA
9,G,3,NA,NA
9,G,4,NA,NA
9,G,5,Echinometra,1.5
9,G,5,other,1.5
9,G,6,other,1
10,T,1,NA,NA
10,T,2,NA,NA
10,T,3,NA,NA
10,T,4,NA,NA
10,T,5,NA,NA
10,T,6,NA,NA
11,S,1,NA,NA
11,S,2,NA,NA
11,S,3,NA,NA
11,S,4,NA,NA
11,S,5,NA,NA
11,S,6,NA,NA
12,A,1,Echinometra,1
12,A,1,Echinometra,2.5
12,A,2,NA,NA
12,A,3,NA,NA
12,A,4,NA,NA
12,A,5,other,8
12,A,6,NA,NA
13,W,1,other,1
13,W,2,NA,NA
13,W,3,other,1.5
13,W,4,other,2
13,W,5,NA,NA
13,W,6,NA,NA
14,X,1,NA,NA
14,X,2,NA,NA
14,X,3,NA,NA
14,X,4,NA,NA
14,X,5,NA,NA
14,X,6,NA,NA
15,C,1,other,1.5
15,C,2,Echinometra,2
15,C,3,other,2
15,C,3,other,2.5
15,C,3,Echinometra,2
15,C,4,NA,NA
15,C,5,NA,NA
15,C,6,Echinometra,3
15,C,6,Echinometra,1.5
15,C,6,Echinometra,2
15,C,6,Echinometra,0.5
15,C,6,Echinometra,2.5
15,C,6,Echinometra,0.5
15,C,6,other,1.5
16,K,1,NA,NA
16,K,2,NA,NA
16,K,3,NA,NA
16,K,4,NA,NA
16,K,5,NA,NA
16,K,6,NA,NA
17,M,1,NA,NA
17,M,2,NA,NA
17,M,3,NA,NA
17,M,4,NA,NA
17,M,5,NA,NA
17,M,6,NA,NA
18,U,1,NA,NA
18,U,2,NA,NA
18,U,3,NA,NA
18,U,4,NA,NA
18,U,5,NA,NA
18,U,6,NA,NA
19,H,1,Echinometra,2
19,H,1,Echinometra,3
19,H,2,NA,NA
19,H,3,NA,NA
19,H,4,NA,NA
19,H,5,Echinometra,3
19,H,6,NA,NA
20,R,1,NA,NA
20,R,2,NA,NA
20,R,3,NA,NA
20,R,4,NA,NA
20,R,5,NA,NA
20,R,6,NA,NA
21,L,1,NA,NA
21,L,2,NA,NA
21,L,3,NA,NA
21,L,4,NA,NA
21,L,5,NA,NA
21,L,6,NA,NA
22,D,1,NA,NA
22,D,2,NA,NA
22,D,3,NA,NA
22,D,4,NA,NA
22,D,5,NA,NA
22,D,6,NA,NA
23,F,1,NA,NA
23,F,2,NA,NA
23,F,3,NA,NA
23,F,4,other,8
23,F,5,NA,NA
23,F,6,Echinometra,1
24,N,1,NA,NA
24,N,2,NA,NA
24,N,3,NA,NA
24,N,4,NA,NA
24,N,5,NA,NA
24,N,6,NA,NA
